Metro Area Code,Metro Area Name,Metro Area Main City,Metro Area States,Startup Rank,Metro Area Main City splitted
12060,Atlanta-Sandy Springs-Marietta,Atlanta,Georgia,13,Atlanta
12420,Austin-Round Rock-San Marcos,Austin,Texas,1,Austin
12580,Baltimore-Towson,Baltimore,Maryland,17,Baltimore
14460,Boston-Cambridge-Quincy,Boston,Massachusetts-New Hampshire,22,Boston
16740,Charlotte-Gastonia-Rock Hill,Charlotte,North Carolina-South Carolina,25,Charlotte
16980,Chicago-Joliet-Naperville,Chicago,Illinois-Indiana-Wisconsin,21,Chicago
17140,Cincinnati-Middletown,Cincinnati,Ohio-Kentucky-Indiana,32,Cincinnati
17460,Cleveland-Elyria-Mentor,Cleveland,Ohio,35,Cleveland
18140,Columbus,Columbus,Ohio,12,Columbus
19100,Dallas-Fort Worth-Arlington,Dallas,Texas,15,Dallas
19740,Denver-Aurora-Broomfield,Denver,Colorado,5,Denver
19820,Detroit-Warren-Livonia,Detroit,Michigan,36,Detroit
26420,Houston-Sugar Land-Baytown,Houston,Texas,8,Houston
26900,Indianapolis-Carmel,Indianapolis,Indiana,28,Indianapolis
27260,Jacksonville,Jacksonville,Florida,27,Jacksonville
28140,Kansas City,KansasCity,Missouri-Kansas,29,Kansas City
29820,Las Vegas-Paradise,LasVegas,Nevada,11,Las Vegas
31100,Los Angeles-Long Beach-Santa Ana,LosAngeles,California,4,Los Angeles
33100,Miami-Fort Lauderdale-Pompano Beach,Miami,Florida,2,Miami
33340,Milwaukee-Waukesha-West Allis,Milwaukee,Wisconsin,39,Milwaukee
33460,Minneapolis-St. Paul-Bloomington,Minneapolis,Minnesota-Wisconsin,37,Minneapolis
34980,Nashville-Davidson-Murfreesboro-Franklin,Nashville,Tennessee,24,Nashville
35620,New York-Northern New Jersey-Long Island,NewYork,New York-New Jersey-Pennsylvania,7,New York
36740,Orlando-Kissimmee-Sanford,Orlando,Florida,33,Orlando
37980,Philadelphia-Camden-Wilmington,Philadelphia,Pennsylvania-New Jersey-Delaware-Maryland,31,Philadelphia
38060,Phoenix-Mesa-Glendale,Phoenix,Arizona,14,Phoenix
38300,Pittsburgh,Pittsburgh,Pennsylvania,40,Pittsburgh
38900,Portland-Vancouver-Hillsboro,Portland,Oregon-Washington,26,Portland
39300,Providence-New Bedford-Fall River,Providence,Rhode Island-Massachusetts,34,Providence
40140,Riverside-San Bernardino-Ontario,Riverside,California,18,Riverside
40900,Sacramento-Arden-Arcade-Roseville,Sacramento,California,23,Sacramento
41700,San Antonio-New Braunfels,SanAntonio,Texas,10,San Antonio
41740,San Diego-Carlsbad-San Marcos,SanDiego,California,9,San Diego
41860,San Francisco-Oakland-Fremont,SanFrancisco,California,6,San Francisco
41940,San Jose-Sunnyvale-Santa Clara,SanJose,California,3,San Jose
42660,Seattle-Tacoma-Bellevue,Seattle,Washington,16,Seattle
41180,St. Louis,StLouis,Missouri-Illinois,38,St Louis
45300,Tampa-St. Petersburg-Clearwater,Tampa,Florida,20,Tampa
47260,Virginia Beach-Norfolk-Newport News,VirginiaBeach,Virginia-North Carolina,19,Virginia Beach
47900,Washington-Arlington-Alexandria,Washington,District of Columbia-Virginia-Maryland-West Virginia,30,Washington
