Metro Area Code,Metro Area Name,Metro Area Main City,Metro Area States,Startup Rank
12060,Atlanta-Sandy Springs-Marietta,Atlanta,Georgia,13
12420,Austin-Round Rock-San Marcos,Austin,Texas,1
12580,Baltimore-Towson,Baltimore,Maryland,17
14460,Boston-Cambridge-Quincy,Boston,Massachusetts-New Hampshire,22
16740,Charlotte-Gastonia-Rock Hill,Charlotte,North Carolina-South Carolina,25
16980,Chicago-Joliet-Naperville,Chicago,Illinois-Indiana-Wisconsin,21
17140,Cincinnati-Middletown,Cincinnati,Ohio-Kentucky-Indiana,32
17460,Cleveland-Elyria-Mentor,Cleveland,Ohio,35
18140,Columbus,Columbus,Ohio,12
19100,Dallas-Fort Worth-Arlington,Dallas,Texas,15
19740,Denver-Aurora-Broomfield,Denver,Colorado,5
19820,Detroit-Warren-Livonia,Detroit,Michigan,36
26420,Houston-Sugar Land-Baytown,Houston,Texas,8
26900,Indianapolis-Carmel,Indianapolis,Indiana,28
27260,Jacksonville,Jacksonville,Florida,27
28140,Kansas City,KansasCity,Missouri-Kansas,29
29820,Las Vegas-Paradise,LasVegas,Nevada,11
31100,Los Angeles-Long Beach-Santa Ana,LosAngeles,California,4
33100,Miami-Fort Lauderdale-Pompano Beach,Miami,Florida,2
33340,Milwaukee-Waukesha-West Allis,Milwaukee,Wisconsin,39
33460,Minneapolis-St. Paul-Bloomington,Minneapolis,Minnesota-Wisconsin,37
34980,Nashville-Davidson-Murfreesboro-Franklin,Nashville,Tennessee,24
35620,New York-Northern New Jersey-Long Island,NewYork,New York-New Jersey-Pennsylvania,7
36740,Orlando-Kissimmee-Sanford,Orlando,Florida,33
37980,Philadelphia-Camden-Wilmington,Philadelphia,Pennsylvania-New Jersey-Delaware-Maryland,31
38060,Phoenix-Mesa-Glendale,Phoenix,Arizona,14
38300,Pittsburgh,Pittsburgh,Pennsylvania,40
38900,Portland-Vancouver-Hillsboro,Portland,Oregon-Washington,26
39300,Providence-New Bedford-Fall River,Providence,Rhode Island-Massachusetts,34
40140,Riverside-San Bernardino-Ontario,Riverside,California,18
40900,Sacramento-Arden-Arcade-Roseville,Sacramento,California,23
41700,San Antonio-New Braunfels,SanAntonio,Texas,10
41740,San Diego-Carlsbad-San Marcos,SanDiego,California,9
41860,San Francisco-Oakland-Fremont,SanFrancisco,California,6
41940,San Jose-Sunnyvale-Santa Clara,SanJose,California,3
42660,Seattle-Tacoma-Bellevue,Seattle,Washington,16
41180,St. Louis,StLouis,Missouri-Illinois,38
45300,Tampa-St. Petersburg-Clearwater,Tampa,Florida,20
47260,Virginia Beach-Norfolk-Newport News,VirginiaBeach,Virginia-North Carolina,19
47900,Washington-Arlington-Alexandria,Washington,District of Columbia-Virginia-Maryland-West Virginia,30
